id;type;sku;name;status;featured;catalog_visibility;short_description;description;date_on_sale_from;date_on_sale_to;tax_status;tax_class;stock_status;backorders;sold_individually;weight;height;reviews_allowed;purchase_note;price;regular_price;manage_stock/stock_quantitiy;category_ids;tag_ids;shipping_class_id;attributes;attributes;default_attributes;attributes;image_id/gallery_image_ids;attributes;downloads;downloads;download_limit;download_expiry;parent_id;upsell_ids;cross_sell_ids
37;simple;12382;Sal fina Salmar 1kg ;1;1;visible;;;;;taxable;standard;1;0;1;;;0;1.45;1.45;1.45;;;;;;;;;;;;;;;;;
38;simple;12383;Harina blanca Juana 1kg;1;1;visible;;;;;taxable;standard;1;0;1;;;0;0.68;0.68;0.68;;;;;;;;;;;;;;;;;
39;simple;12384;Harina Doña maría trigo 1 kg ;1;1;visible;;;;;taxable;standard;1;0;1;;;0;0.95;0.95;0.95;;;;;;;;;;;;;;;;;
40;simple;12385;Harina pan Polar 1 kg;1;1;visible;;;;;taxable;standard;1;0;1;;;0;1.05;1.05;1.05;;;;;;;;;;;;;;;;;
41;simple;12386;Harina Blancaflor todo uso 1 kg;1;1;visible;;;;;taxable;standard;1;0;1;;;0;1.00;1.00;1.00;;;;;;;;;;;;;;;;;
42;simple;12387;Harina Blancaflor leudante 1 kg;1;1;visible;;;;;taxable;standard;1;0;1;;;0;1.35;1.35;1.35;;;;;;;;;;;;;;;;;
43;simple;12388;Maicena 200 g;1;1;visible;;;;;taxable;standard;1;0;1;;;0;1.62;1.62;1.62;;;;;;;;;;;;;;;;;
44;simple;12389;Mantequilla Mavesa 500 g ;1;1;visible;;;;;taxable;standard;1;0;1;;;0;1.10;1.10;1.10;;;;;;;;;;;;;;;;;
45;simple;12390;Pasta Ronco Vermicelli 1kg;1;1;visible;;;;;taxable;standard;1;0;1;;;0;3.30;3.30;3.30;;;;;;;;;;;;;;;;;
46;simple;12391;Sindoni Premium 1kg;1;1;visible;;;;;taxable;standard;1;0;1;;;0;1.10;1.10;1.10;;;;;;;;;;;;;;;;;
47;simple;12392;Huevos 1/2 cartón 15 unidades;1;1;visible;;;;;taxable;standard;1;0;1;;;0;1.28;1.28;1.28;;;;;;;;;;;;;;;;;
48;simple;12393;Vinagre blanco Maesa 1 L;1;1;visible;;;;;taxable;standard;1;0;1;;;0;2.22;2.22;2.22;;;;;;;;;;;;;;;;;
49;simple;12394;Vinagre Tiquire flores 1 L;1;1;visible;;;;;taxable;standard;1;0;1;;;0;1.03;1.03;1.03;;;;;;;;;;;;;;;;;
50;simple;12395;;1;1;visible;;;;;taxable;standard;1;0;1;;;0;1.03;1.03;1.03;;;;;;;;;;;;;;;;;
