id;type;sku;name;status;featured;catalog_visibility;short_description;description;date_on_sale_from;date_on_sale_to;tax_status;tax_class;stock_status;backorders;sold_individually;weight;height;reviews_allowed;purchase_note;price;regular_price;manage_stock/stock_quantitiy;category_ids;tag_ids;shipping_class_id;attributes;attributes;default_attributes;attributes;image_id/gallery_image_ids;attributes;downloads;downloads;download_limit;download_expiry;parent_id;upsell_ids;cross_sell_ids
27;simple;12372;Papel de baño Rosal 4 unidades;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;0.80;;Higiene y Hogar;;;;;;;Papel rosal.jpg;;;;;;;;
28;simple;12373;Aceite de soya comestible Oriental  828 ml;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;1.30;;Víveres;;;;;;;aceite maiceite.jpg;;;;;;;;
29;simple;12374;Aceite comestible Mazeite de maíz 1  L;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;2.80;;Víveres;;;;;;;ACEITE-ORIENTAL-1-LT-2.80.jpg;;;;;;;;
30;simple;12375;Arroz blanco tipo I Mary 1kg;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;4.60;;Víveres;;;;;;;arroz blanco tipo 1 mary 1kg 1.10$.jpg;;;;;;;;
31;simple;12376;Arroz blanco tradiciona Primor l1 kg;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;1.10;;Víveres;;;;;;;Arroz primor 1.75$ 1 kg.jpg;;;;;;;;
32;simple;12377;Puré de tomate Heinz 490 g;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;1.75;;Víveres;;;;;;;pure de tomate heinz 490 gr 3.45$.jpg;;;;;;;;
33;simple;12378;Mostaza preparada Heniz 500g;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;3.45;;Víveres;;;;;;;Mostaza heinz 500 gr 4.50.jpg;;;;;;;;
34;simple;12379;Mayonesa la autentica  Kratf 445 g ;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;4.50;;Víveres;;;;;;;mayonesa kratf 445 gr 3$.jpg;;;;;;;;
35;simple;12380;Salsa de tomate kétchup Heinz 397g ;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;3.00;;Víveres;;;;;;;Salsa tomate ketchup heinz 397g 1.40$.jpg;;;;;;;;
36;simple;12381;Salsa de Tomate tiquire flores 380 g ;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;1.40;;Víveres;;;;;;;salsa de tomate tiquire flores 380 gr 1.45$.jpg;;;;;;;;
37;simple;12382;Sal marina fina Salmar 1kg ;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;1.45;;Víveres;;;;;;;sal fina salmar 1kg 0.68$.jpg;;;;;;;;
38;simple;12383;Harina de maiz  blanca Juana 1kg;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;0.68;;Víveres;;;;;;;harina blanca juana 1kg 0.95.jpg;;;;;;;;
39;simple;12384;Harina de trigo  Doña maría trigo 1 kg ;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;0.95;;Víveres;;;;;;;harina doña maria trigo 1 kg 1.05$.jpg;;;;;;;;
40;simple;12385;Harina pan  de maiz  Polar 1 kg;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;1.05;;Víveres;;;;;;;harina pan 1 kg 1$.jpg;;;;;;;;
41;simple;12386;Harina de trigo todo uso  Blancaflor  1 kg;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;1.00;;Víveres;;;;;;;HARINA-BLANCAFLOR-TODO-USO-1KG-1.35$.jpg;;;;;;;;
42;simple;12387;Harina de trigo  leudante Blancaflor  1 kg;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;1.35;;Víveres;;;;;;;HARINA-LEUDANTE-BLANCA-FLOR-1K1.62$.jpg;;;;;;;;
43;simple;12388;Maizina  Americana Alfonzo Rivas  200 g;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;1.62;;Víveres;;;;;;;MAIZINA-200G 1.10$.jpg;;;;;;;;
44;simple;12389;Margarina Nacional Mavesa 500 g ;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;1.10;;Víveres;;;;;;;Mantequilla Mavesa 500 gr 3.30$.jpg;;;;;;;;
45;simple;12390;Pasta larga  Ronco Vermicelli 1kg;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;3.30;;Víveres;;;;;;;_PASTA-RONCO-VERMICELLI-1-KG 1.10$.;;;;;;;;
46;simple;12391;Pasta larga Sindoni Premium 1kg;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;1.10;;Víveres;;;;;;;Sindoni premium 1.28$ 1 kg.jpg;;;;;;;;
47;simple;12392;Huevos 1/2 cartón 15 unidades;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;1.28;;Víveres;;;;;;;HUEVOS-MEDIO-CARTON 2.25$.jpg;;;;;;;;
48;simple;12393;Vinagre blanco Maesa 1 L;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;2.22;;Víveres;;;;;;;vinagre mavesa.jpg;;;;;;;;
